time,open,high,low,close,volume
1784613600,3.13e-06,3.19e-06,3.1e-06,3.1e-06,13196872669.0
1784617200,3.1e-06,3.1e-06,3.04e-06,3.04e-06,15246519147.0
1784620800,3.05e-06,3.07e-06,3.04e-06,3.06e-06,12404649427.0
1784624400,3.06e-06,3.07e-06,3.04e-06,3.06e-06,13374770124.0
1784628000,3.06e-06,3.08e-06,3.05e-06,3.07e-06,6839099077.0
1784631600,3.07e-06,3.1e-06,3.05e-06,3.06e-06,25357496464.0
1784635200,3.06e-06,3.14e-06,3.06e-06,3.13e-06,29999001734.0
1784638800,3.13e-06,3.14e-06,3.11e-06,3.13e-06,28438753430.0
1784642400,3.12e-06,3.13e-06,3.06e-06,3.09e-06,9771152417.0
1784646000,3.08e-06,3.13e-06,3.08e-06,3.08e-06,49047977801.0
1784649600,3.08e-06,3.09e-06,3.05e-06,3.06e-06,11249984668.0
1784653200,3.07e-06,3.07e-06,3.03e-06,3.05e-06,34815427120.0
1784656800,3.05e-06,3.07e-06,3.05e-06,3.05e-06,3511729256.0
1784660400,3.05e-06,3.06e-06,3.04e-06,3.05e-06,3398572450.0
1784664000,3.06e-06,3.06e-06,3.01e-06,3.04e-06,19391580122.0
1784667600,3.03e-06,3.06e-06,3.03e-06,3.04e-06,10557100955.0
1784671200,3.04e-06,3.05e-06,2.98e-06,3e-06,20309256584.0
1784674800,3e-06,3e-06,2.96e-06,2.99e-06,51256891805.0
1784678400,2.99e-06,3.04e-06,2.99e-06,3.02e-06,10581119047.0
1784682000,3.02e-06,3.03e-06,2.98e-06,3.01e-06,24970233357.0
1784685600,3.01e-06,3.08e-06,3.01e-06,3.04e-06,30311829162.0
1784689200,3.04e-06,3.07e-06,3.01e-06,3.03e-06,13368244142.0
1784692800,3.03e-06,3.06e-06,3.03e-06,3.03e-06,14296102394.0
1784696400,3.03e-06,3.03e-06,2.98e-06,3e-06,30416945680.0
1784700000,3.01e-06,3.04e-06,2.98e-06,3.02e-06,31414421857.0
1784703600,3.02e-06,3.03e-06,3.01e-06,3.02e-06,7174571675.0
1784707200,3.03e-06,3.04e-06,3.01e-06,3.03e-06,17839604613.0
1784710800,3.03e-06,3.08e-06,3.02e-06,3.08e-06,45574190070.0
1784714400,3.07e-06,3.09e-06,3.05e-06,3.05e-06,12364999337.0
1784718000,3.06e-06,3.09e-06,3.06e-06,3.06e-06,6405860129.0
1784721600,3.06e-06,3.07e-06,3.03e-06,3.05e-06,10073239028.0
1784725200,3.05e-06,3.09e-06,3.05e-06,3.09e-06,20479659056.0
1784728800,3.08e-06,3.1e-06,3.05e-06,3.07e-06,19999086286.0
1784732400,3.07e-06,3.16e-06,3.07e-06,3.12e-06,50759783478.0
1784736000,3.12e-06,3.12e-06,3.08e-06,3.1e-06,36096554114.0
1784739600,3.11e-06,3.12e-06,3.08e-06,3.1e-06,25251607787.0
1784743200,3.1e-06,3.12e-06,3.03e-06,3.04e-06,23589868975.0
1784746800,3.03e-06,3.03e-06,2.98e-06,3e-06,42385464418.0
1784750400,3e-06,3.02e-06,3e-06,3.01e-06,12814662611.0
1784754000,3.01e-06,3.03e-06,3e-06,3.02e-06,5861493250.0
1784757600,3.02e-06,3.02e-06,2.96e-06,2.99e-06,29221007991.0
1784761200,2.98e-06,3e-06,2.97e-06,2.99e-06,11763810976.0
1784764800,2.99e-06,3e-06,2.98e-06,2.99e-06,10314340723.0
1784768400,2.99e-06,3e-06,2.96e-06,2.97e-06,16044362495.0
1784772000,2.97e-06,2.99e-06,2.96e-06,2.96e-06,8201934706.0
1784775600,2.97e-06,2.97e-06,2.9e-06,2.91e-06,46629358036.0
1784779200,2.9e-06,2.95e-06,2.89e-06,2.95e-06,21828158495.0
1784782800,2.95e-06,2.96e-06,2.94e-06,2.95e-06,2393353174.0
1784786400,2.96e-06,3.01e-06,2.96e-06,2.99e-06,21313175483.0
1784790000,2.99e-06,2.99e-06,2.94e-06,2.95e-06,12453987125.0
1784793600,2.95e-06,2.99e-06,2.94e-06,2.98e-06,4732634968.0
1784797200,2.97e-06,2.98e-06,2.97e-06,2.97e-06,2867010510.0
1784800800,2.97e-06,2.98e-06,2.95e-06,2.97e-06,95611264445.0
1784804400,2.97e-06,2.98e-06,2.96e-06,2.97e-06,4795929606.0
1784808000,2.97e-06,2.99e-06,2.94e-06,2.96e-06,11622948094.0
1784811600,2.97e-06,2.97e-06,2.92e-06,2.93e-06,23717861735.0
1784815200,2.93e-06,2.96e-06,2.93e-06,2.93e-06,13329857358.0
1784818800,2.93e-06,2.97e-06,2.9e-06,2.97e-06,30958510427.0
1784822400,2.96e-06,2.96e-06,2.92e-06,2.94e-06,31617363560.0
1784826000,2.94e-06,2.94e-06,2.89e-06,2.9e-06,20412301545.0
1784829600,2.89e-06,2.93e-06,2.89e-06,2.92e-06,14041128237.0
1784833200,2.92e-06,2.92e-06,2.88e-06,2.9e-06,12425135385.0
1784836800,2.9e-06,2.93e-06,2.9e-06,2.92e-06,5211303633.0
1784840400,2.93e-06,2.93e-06,2.89e-06,2.89e-06,13534509795.0
1784844000,2.89e-06,2.9e-06,2.87e-06,2.89e-06,17676128421.0
1784847600,2.9e-06,2.9e-06,2.87e-06,2.87e-06,8147360359.0
1784851200,2.87e-06,2.91e-06,2.86e-06,2.9e-06,21217763020.0
1784854800,2.9e-06,2.96e-06,2.9e-06,2.96e-06,15078782789.0
1784858400,2.96e-06,2.97e-06,2.93e-06,2.94e-06,7019740173.0
1784862000,2.95e-06,2.97e-06,2.95e-06,2.95e-06,4582345228.0
1784865600,2.95e-06,2.96e-06,2.94e-06,2.95e-06,9330268620.0
1784869200,2.95e-06,2.95e-06,2.93e-06,2.94e-06,13446895886.0
1784872800,2.95e-06,2.97e-06,2.94e-06,2.96e-06,12146124356.0
1784876400,2.96e-06,2.98e-06,2.93e-06,2.94e-06,38316622338.0
1784880000,2.94e-06,2.95e-06,2.94e-06,2.94e-06,2758735465.0
1784883600,2.93e-06,2.95e-06,2.92e-06,2.93e-06,6499857075.0
1784887200,2.93e-06,2.93e-06,2.91e-06,2.91e-06,5113685807.0
1784890800,2.92e-06,2.94e-06,2.92e-06,2.93e-06,10780094672.0
1784894400,2.93e-06,2.94e-06,2.9e-06,2.91e-06,8319998102.0
1784898000,2.9e-06,2.92e-06,2.88e-06,2.9e-06,26719129130.0
1784901600,2.9e-06,2.91e-06,2.87e-06,2.9e-06,9556011078.0
1784905200,2.9e-06,2.93e-06,2.89e-06,2.91e-06,15827764077.0
1784908800,2.91e-06,2.92e-06,2.9e-06,2.92e-06,9453639747.0
1784912400,2.92e-06,2.97e-06,2.91e-06,2.94e-06,13269186676.0
1784916000,2.94e-06,2.96e-06,2.92e-06,2.93e-06,6324944764.0
1784919600,2.94e-06,2.94e-06,2.92e-06,2.93e-06,6340025933.0
1784923200,2.94e-06,2.94e-06,2.92e-06,2.93e-06,358534441.0
1784926800,2.94e-06,2.94e-06,2.9e-06,2.91e-06,6052844179.0
1784930400,2.9e-06,2.94e-06,2.9e-06,2.93e-06,5918782971.0
1784934000,2.94e-06,2.95e-06,2.93e-06,2.93e-06,18625947919.0
1784937600,2.92e-06,2.97e-06,2.92e-06,2.97e-06,16259524559.0
1784941200,2.97e-06,2.98e-06,2.95e-06,2.97e-06,6306037663.0
1784944800,2.96e-06,2.97e-06,2.93e-06,2.95e-06,12637654605.0
1784948400,2.95e-06,2.98e-06,2.95e-06,2.97e-06,4664340410.0
1784952000,2.97e-06,2.98e-06,2.96e-06,2.96e-06,11622811796.0
1784955600,2.95e-06,2.96e-06,2.94e-06,2.96e-06,17577498490.0
1784959200,2.96e-06,2.96e-06,2.92e-06,2.93e-06,8327817820.0
