time,open,high,low,close,volume
1784613600,0.07293,0.07318,0.07277,0.07307,3263543.3
1784617200,0.07306,0.07329,0.07292,0.07327,1888698.0
1784620800,0.07325,0.07376,0.07324,0.07347,10859765.0
1784624400,0.07346,0.07354,0.07331,0.07341,2980278.1
1784628000,0.07343,0.0737,0.07322,0.07339,2704112.0
1784631600,0.07341,0.07369,0.07333,0.07361,1854813.6
1784635200,0.07362,0.07368,0.07335,0.07349,2877689.0
1784638800,0.07347,0.07356,0.07308,0.07341,10055073.0
1784642400,0.07341,0.07357,0.07308,0.07325,3824217.1
1784646000,0.07325,0.07345,0.07307,0.07342,1652643.2
1784649600,0.07344,0.07348,0.0732,0.07336,1454692.8
1784653200,0.07335,0.07339,0.07285,0.07325,4477484.0
1784656800,0.07325,0.07346,0.07318,0.07343,2823532.0
1784660400,0.07345,0.07359,0.07332,0.07348,4614705.1
1784664000,0.0735,0.07359,0.07335,0.07349,1696533.8
1784667600,0.07347,0.07352,0.07328,0.07336,1372937.7
1784671200,0.07332,0.07332,0.073,0.07306,1683378.0
1784674800,0.07305,0.07335,0.07296,0.07335,2021786.5
1784678400,0.07335,0.07385,0.07325,0.07367,6149436.3
1784682000,0.07368,0.07379,0.0733,0.07357,2488038.0
1784685600,0.07358,0.0737,0.07337,0.07337,1049472.5
1784689200,0.07336,0.07347,0.07315,0.07317,6086309.1
1784692800,0.07321,0.07345,0.07317,0.07339,1908629.1
1784696400,0.07338,0.07338,0.07239,0.07243,8542046.8
1784700000,0.07246,0.07251,0.07216,0.07233,3357575.9
1784703600,0.07235,0.07239,0.07205,0.07216,3403064.0
1784707200,0.07216,0.07249,0.07216,0.07246,1090608.0
1784710800,0.07244,0.0726,0.07232,0.07248,792772.8
1784714400,0.07249,0.07274,0.07241,0.07266,889858.3
1784718000,0.07265,0.07278,0.07248,0.07257,2342632.7
1784721600,0.07258,0.07258,0.07211,0.07237,1975951.8
1784725200,0.07239,0.07288,0.07229,0.07279,5156117.3
1784728800,0.07283,0.0733,0.07244,0.07283,2911167.1
1784732400,0.07283,0.07326,0.07281,0.07303,2601283.4
1784736000,0.07305,0.07349,0.07289,0.07336,2378903.7
1784739600,0.07335,0.07347,0.07302,0.07315,3112050.7
1784743200,0.07316,0.0732,0.07261,0.07275,3296209.9
1784746800,0.07276,0.07279,0.07223,0.07247,3028193.5
1784750400,0.07246,0.07278,0.07237,0.0726,6453738.0
1784754000,0.0726,0.07308,0.07249,0.07297,4579066.0
1784757600,0.07298,0.07303,0.07275,0.07301,1700283.2
1784761200,0.07299,0.073,0.07248,0.07295,1531551.1
1784764800,0.07296,0.07319,0.07287,0.07293,1441306.1
1784768400,0.07292,0.07306,0.07269,0.07274,1556545.0
1784772000,0.07273,0.07279,0.07252,0.07264,1071909.3
1784775600,0.07263,0.07268,0.0722,0.0723,4019738.3
1784779200,0.07229,0.07259,0.07226,0.0725,1010481.3
1784782800,0.07251,0.07265,0.07234,0.07242,1991472.3
1784786400,0.07244,0.07261,0.07236,0.07257,488782.8
1784790000,0.07256,0.07256,0.07208,0.07217,2092480.9
1784793600,0.07216,0.07245,0.07212,0.07239,1033866.5
1784797200,0.07238,0.07248,0.07221,0.07221,2257865.7
1784800800,0.0722,0.0725,0.07218,0.07238,2440574.7
1784804400,0.07236,0.07249,0.07231,0.07232,1558996.2
1784808000,0.07233,0.07238,0.07054,0.07122,16072773.8
1784811600,0.07121,0.07126,0.06991,0.07026,17463005.1
1784815200,0.07025,0.07066,0.07005,0.07021,10568741.2
1784818800,0.07018,0.07021,0.06834,0.06973,40400697.6
1784822400,0.06974,0.06976,0.06921,0.06959,11012688.8
1784826000,0.06958,0.06978,0.06923,0.06936,3652856.7
1784829600,0.06935,0.06944,0.06907,0.06927,8159026.2
1784833200,0.06927,0.06938,0.0689,0.06919,6607617.5
1784836800,0.06919,0.06964,0.06916,0.06962,2853310.7
1784840400,0.06962,0.06973,0.06937,0.06949,3004947.5
1784844000,0.06947,0.06968,0.06928,0.06951,3004171.6
1784847600,0.06951,0.06954,0.06908,0.06916,1788284.6
1784851200,0.06916,0.06919,0.0687,0.06919,5610427.9
1784854800,0.06917,0.06938,0.06914,0.06924,2397701.0
1784858400,0.06924,0.06943,0.06877,0.06912,3705818.6
1784862000,0.0691,0.06946,0.06902,0.06938,1724548.4
1784865600,0.06938,0.06938,0.06896,0.06903,3195226.3
1784869200,0.06903,0.06921,0.06892,0.06917,5552495.2
1784872800,0.06917,0.0694,0.06915,0.06928,3577850.9
1784876400,0.06929,0.07011,0.06928,0.07001,19003316.7
