time,open,high,low,close,volume
1784613600,2.93e-06,2.93e-06,2.91e-06,2.91e-06,4700431935.0
1784617200,2.91e-06,2.93e-06,2.91e-06,2.92e-06,8408589114.0
1784620800,2.92e-06,2.94e-06,2.9e-06,2.93e-06,54369452074.0
1784624400,2.92e-06,2.94e-06,2.92e-06,2.93e-06,15703394863.0
1784628000,2.93e-06,2.97e-06,2.93e-06,2.96e-06,51713045385.0
1784631600,2.96e-06,2.98e-06,2.92e-06,2.92e-06,11863729963.0
1784635200,2.93e-06,2.94e-06,2.91e-06,2.92e-06,46773940119.0
1784638800,2.92e-06,2.93e-06,2.9e-06,2.93e-06,15117852144.0
1784642400,2.92e-06,2.93e-06,2.91e-06,2.92e-06,7683560217.0
1784646000,2.91e-06,2.91e-06,2.88e-06,2.9e-06,24282433391.0
1784649600,2.9e-06,2.91e-06,2.89e-06,2.9e-06,10302931608.0
1784653200,2.9e-06,2.9e-06,2.87e-06,2.88e-06,26234006912.0
1784656800,2.88e-06,2.89e-06,2.87e-06,2.89e-06,8925780808.0
1784660400,2.88e-06,2.9e-06,2.88e-06,2.89e-06,3564810183.0
1784664000,2.89e-06,2.9e-06,2.88e-06,2.89e-06,5676526920.0
1784667600,2.89e-06,2.9e-06,2.87e-06,2.87e-06,4457713143.0
1784671200,2.87e-06,2.88e-06,2.87e-06,2.87e-06,3930166767.0
1784674800,2.86e-06,2.88e-06,2.85e-06,2.88e-06,2900075854.0
1784678400,2.88e-06,2.89e-06,2.88e-06,2.88e-06,10536447160.0
1784682000,2.88e-06,2.9e-06,2.87e-06,2.88e-06,7672810120.0
1784685600,2.87e-06,2.89e-06,2.86e-06,2.87e-06,66878325203.0
1784689200,2.87e-06,2.88e-06,2.85e-06,2.86e-06,20143793382.0
1784692800,2.87e-06,2.88e-06,2.86e-06,2.88e-06,548542670.0
1784696400,2.88e-06,2.88e-06,2.84e-06,2.84e-06,2841789260.0
1784700000,2.84e-06,2.85e-06,2.84e-06,2.84e-06,2293933513.0
1784703600,2.84e-06,2.85e-06,2.84e-06,2.85e-06,7400647619.0
