time,open,high,low,close,volume
1784613600,4.29e-06,4.3e-06,4.28e-06,4.28e-06,1821801345.0
1784617200,4.28e-06,4.29e-06,4.27e-06,4.28e-06,688803520.0
1784620800,4.29e-06,4.3e-06,4.28e-06,4.28e-06,1437329431.0
1784624400,4.27e-06,4.29e-06,4.27e-06,4.28e-06,543046105.0
1784628000,4.27e-06,4.29e-06,4.26e-06,4.27e-06,1610982316.0
1784631600,4.27e-06,4.28e-06,4.26e-06,4.27e-06,2519237307.0
1784635200,4.26e-06,4.28e-06,4.26e-06,4.27e-06,1264810607.0
1784638800,4.28e-06,4.29e-06,4.26e-06,4.28e-06,1034946709.0
1784642400,4.29e-06,4.3e-06,4.27e-06,4.28e-06,1884677670.0
1784646000,4.28e-06,4.29e-06,4.27e-06,4.28e-06,1025192321.0
1784649600,4.28e-06,4.29e-06,4.27e-06,4.28e-06,5574581504.0
1784653200,4.28e-06,4.28e-06,4.25e-06,4.27e-06,1068057875.0
1784656800,4.27e-06,4.28e-06,4.26e-06,4.27e-06,378170145.0
1784660400,4.27e-06,4.28e-06,4.27e-06,4.28e-06,6639467583.0
1784664000,4.27e-06,4.28e-06,4.27e-06,4.28e-06,3490619084.0
1784667600,4.27e-06,4.29e-06,4.27e-06,4.27e-06,3181409347.0
1784671200,4.27e-06,4.28e-06,4.26e-06,4.26e-06,1119602070.0
1784674800,4.26e-06,4.26e-06,4.25e-06,4.26e-06,401241714.0
1784678400,4.26e-06,4.29e-06,4.26e-06,4.28e-06,3244900589.0
1784682000,4.28e-06,4.28e-06,4.26e-06,4.26e-06,3583313918.0
1784685600,4.27e-06,4.27e-06,4.24e-06,4.25e-06,794927565.0
1784689200,4.25e-06,4.25e-06,4.23e-06,4.24e-06,1532134355.0
1784692800,4.23e-06,4.26e-06,4.23e-06,4.25e-06,1660563048.0
1784696400,4.25e-06,4.25e-06,4.22e-06,4.23e-06,599329524.0
1784700000,4.22e-06,4.24e-06,4.22e-06,4.22e-06,4708532719.0
1784703600,4.22e-06,4.23e-06,4.22e-06,4.23e-06,1599669930.0
1784707200,4.22e-06,4.24e-06,4.22e-06,4.24e-06,345933003.0
1784710800,4.24e-06,4.25e-06,4.23e-06,4.25e-06,829715150.0
1784714400,4.25e-06,4.26e-06,4.24e-06,4.26e-06,998861885.0
1784718000,4.25e-06,4.26e-06,4.24e-06,4.25e-06,776853550.0
1784721600,4.24e-06,4.24e-06,4.22e-06,4.23e-06,864491076.0
1784725200,4.23e-06,4.26e-06,4.22e-06,4.26e-06,525517103.0
1784728800,4.25e-06,4.26e-06,4.23e-06,4.24e-06,1135661812.0
1784732400,4.25e-06,4.26e-06,4.24e-06,4.25e-06,764929927.0
1784736000,4.25e-06,4.28e-06,4.23e-06,4.27e-06,3585316803.0
1784739600,4.28e-06,4.28e-06,4.25e-06,4.26e-06,1415306501.0
1784743200,4.26e-06,4.26e-06,4.25e-06,4.25e-06,733920861.0
1784746800,4.24e-06,4.25e-06,4.24e-06,4.24e-06,564417559.0
1784750400,4.25e-06,4.26e-06,4.24e-06,4.24e-06,730788787.0
1784754000,4.25e-06,4.26e-06,4.25e-06,4.25e-06,282701262.0
1784757600,4.27e-06,4.27e-06,4.25e-06,4.26e-06,1674375027.0
1784761200,4.26e-06,4.26e-06,4.23e-06,4.25e-06,1096298387.0
1784764800,4.26e-06,4.26e-06,4.25e-06,4.25e-06,4636916701.0
1784768400,4.26e-06,4.26e-06,4.24e-06,4.26e-06,480535949.0
1784772000,4.26e-06,4.27e-06,4.24e-06,4.26e-06,243031369.0
1784775600,4.24e-06,4.25e-06,4.24e-06,4.24e-06,399511605.0
1784779200,4.24e-06,4.25e-06,4.22e-06,4.22e-06,206621266.0
1784782800,4.22e-06,4.24e-06,4.22e-06,4.23e-06,2695588123.0
1784786400,4.24e-06,4.24e-06,4.24e-06,4.24e-06,103961009.0
1784790000,4.24e-06,4.24e-06,4.22e-06,4.23e-06,655547751.0
1784793600,4.23e-06,4.25e-06,4.23e-06,4.24e-06,185605797.0
1784797200,4.24e-06,4.25e-06,4.23e-06,4.23e-06,162820025.0
1784800800,4.23e-06,4.24e-06,4.22e-06,4.23e-06,158814317.0
1784804400,4.23e-06,4.24e-06,4.22e-06,4.22e-06,3688959954.0
1784808000,4.22e-06,4.24e-06,4.16e-06,4.19e-06,5588295356.0
1784811600,4.18e-06,4.18e-06,4.16e-06,4.16e-06,1894551847.0
1784815200,4.16e-06,4.17e-06,4.14e-06,4.14e-06,6311799803.0
1784818800,4.14e-06,4.15e-06,4.11e-06,4.12e-06,3771150325.0
1784822400,4.13e-06,4.15e-06,4.13e-06,4.14e-06,745889244.0
1784826000,4.14e-06,4.15e-06,4.11e-06,4.11e-06,836786417.0
1784829600,4.12e-06,4.13e-06,4.11e-06,4.11e-06,2164094250.0
1784833200,4.11e-06,4.12e-06,4.1e-06,4.11e-06,4594669400.0
1784836800,4.11e-06,4.14e-06,4.11e-06,4.14e-06,1127990161.0
1784840400,4.14e-06,4.14e-06,4.12e-06,4.13e-06,892866536.0
1784844000,4.13e-06,4.15e-06,4.12e-06,4.14e-06,1893750224.0
1784847600,4.14e-06,4.15e-06,4.13e-06,4.13e-06,439710515.0
1784851200,4.12e-06,4.12e-06,4.1e-06,4.12e-06,1043580390.0
1784854800,4.11e-06,4.13e-06,4.11e-06,4.13e-06,589311974.0
1784858400,4.13e-06,4.14e-06,4.11e-06,4.11e-06,586580471.0
1784862000,4.12e-06,4.16e-06,4.12e-06,4.15e-06,3581322716.0
1784865600,4.15e-06,4.16e-06,4.14e-06,4.15e-06,242916028.0
1784869200,4.16e-06,4.17e-06,4.15e-06,4.16e-06,412313958.0
1784872800,4.16e-06,4.18e-06,4.15e-06,4.17e-06,5494655504.0
1784876400,4.17e-06,4.2e-06,4.17e-06,4.18e-06,982110115.0
1784880000,4.19e-06,4.19e-06,4.18e-06,4.18e-06,264828486.0
1784883600,4.18e-06,4.19e-06,4.17e-06,4.19e-06,3576261501.0
1784887200,4.18e-06,4.18e-06,4.16e-06,4.17e-06,320210363.0
1784890800,4.16e-06,4.17e-06,4.15e-06,4.16e-06,260109302.0
1784894400,4.16e-06,4.17e-06,4.14e-06,4.14e-06,6314001383.0
1784898000,4.14e-06,4.14e-06,4.1e-06,4.11e-06,3992118472.0
