time,open,high,low,close,volume
1784613600,0.153,0.154,0.153,0.153,234905.26
1784617200,0.153,0.153,0.152,0.153,113255.49
1784620800,0.153,0.153,0.153,0.153,17078.46
1784624400,0.154,0.155,0.154,0.155,25180.29
1784628000,0.155,0.156,0.155,0.155,37760.94
1784631600,0.155,0.155,0.155,0.155,36241.91
1784635200,0.155,0.155,0.154,0.155,22171.58
1784638800,0.154,0.154,0.153,0.153,4227.58
1784642400,0.153,0.154,0.153,0.154,12121.77
1784646000,0.154,0.155,0.153,0.154,87227.97
1784649600,0.154,0.154,0.153,0.153,15080.22
1784653200,0.153,0.153,0.152,0.152,52856.63
1784656800,0.152,0.153,0.152,0.153,32039.8
1784660400,0.153,0.153,0.153,0.153,15513.93
1784664000,0.153,0.153,0.152,0.152,5768.74
1784667600,0.152,0.152,0.152,0.152,2415.08
1784674800,0.151,0.153,0.151,0.152,27866.37
1784678400,0.152,0.153,0.152,0.153,11331.99
1784685600,0.153,0.154,0.153,0.154,20101.34
1784689200,0.153,0.154,0.153,0.154,25176.94
1784692800,0.154,0.154,0.153,0.153,6324.71
1784696400,0.153,0.153,0.152,0.152,2654.15
1784700000,0.152,0.152,0.151,0.151,63514.88
1784703600,0.152,0.152,0.151,0.151,24794.64
1784707200,0.151,0.153,0.151,0.152,31629.13
1784710800,0.151,0.152,0.151,0.151,5668.76
1784714400,0.151,0.152,0.151,0.152,34868.1
1784718000,0.151,0.152,0.151,0.151,9442.43
1784721600,0.151,0.151,0.15,0.151,54703.87
1784725200,0.151,0.153,0.15,0.153,62029.02
1784728800,0.152,0.153,0.152,0.152,46057.45
1784732400,0.152,0.155,0.152,0.154,60229.05
1784736000,0.153,0.154,0.153,0.154,23007.56
1784739600,0.154,0.155,0.154,0.155,39640.36
1784743200,0.155,0.155,0.154,0.155,47133.83
1784746800,0.155,0.155,0.154,0.154,7371.83
1784750400,0.155,0.156,0.155,0.155,31371.59
1784754000,0.155,0.155,0.155,0.155,16602.3
1784757600,0.155,0.155,0.153,0.153,67152.91
1784761200,0.153,0.153,0.152,0.153,106742.17
1784764800,0.153,0.154,0.153,0.153,32917.82
1784768400,0.153,0.153,0.152,0.152,195591.59
1784772000,0.152,0.153,0.151,0.152,20218.76
1784779200,0.152,0.152,0.152,0.152,67845.64
1784782800,0.152,0.152,0.152,0.152,750.0
1784786400,0.152,0.152,0.152,0.152,106.93
1784790000,0.152,0.152,0.151,0.152,17524.52
1784793600,0.152,0.152,0.152,0.152,15181.17
1784797200,0.152,0.154,0.152,0.153,28995.69
1784800800,0.153,0.153,0.152,0.152,4910.16
1784804400,0.152,0.152,0.151,0.152,35775.57
1784808000,0.152,0.153,0.151,0.151,88424.75
1784811600,0.151,0.151,0.15,0.15,61151.25
1784815200,0.15,0.151,0.15,0.15,5003.09
1784818800,0.149,0.149,0.147,0.149,176340.35
1784822400,0.148,0.149,0.147,0.148,55528.93
1784826000,0.148,0.149,0.146,0.146,194649.23
1784829600,0.145,0.145,0.143,0.144,220779.9
1784833200,0.144,0.144,0.143,0.144,61968.5
1784836800,0.145,0.146,0.145,0.146,42007.85
1784840400,0.146,0.146,0.144,0.144,40967.93
1784844000,0.145,0.146,0.145,0.145,33486.38
1784847600,0.145,0.145,0.143,0.143,20031.13
1784851200,0.143,0.144,0.141,0.144,308740.23
1784854800,0.143,0.145,0.143,0.144,153810.78
1784858400,0.144,0.144,0.143,0.143,73004.56
1784862000,0.144,0.145,0.144,0.145,33667.94
1784865600,0.144,0.145,0.144,0.145,8624.68
1784872800,0.145,0.146,0.144,0.146,34948.27
1784876400,0.146,0.147,0.146,0.146,17940.59
1784883600,0.145,0.145,0.144,0.144,15825.3
1784887200,0.144,0.144,0.144,0.144,11068.96
1784890800,0.144,0.145,0.143,0.143,14656.93
1784894400,0.144,0.144,0.143,0.143,37287.21
1784898000,0.144,0.144,0.141,0.142,193913.53
1784901600,0.142,0.142,0.141,0.142,19018.33
1784905200,0.142,0.143,0.142,0.143,95240.69
1784908800,0.143,0.143,0.142,0.142,142009.91
1784912400,0.143,0.144,0.143,0.144,34887.07
1784916000,0.144,0.145,0.144,0.145,67272.72
1784919600,0.144,0.144,0.144,0.144,17768.3
1784923200,0.143,0.144,0.143,0.143,43876.51
1784926800,0.143,0.143,0.141,0.141,16658.81
1784930400,0.142,0.143,0.142,0.143,28320.1
1784934000,0.143,0.145,0.143,0.144,166387.42
1784937600,0.144,0.146,0.143,0.146,33493.25
1784941200,0.145,0.146,0.145,0.145,15855.11
1784944800,0.145,0.146,0.145,0.146,63000.22
1784948400,0.146,0.147,0.145,0.147,26897.84
1784952000,0.147,0.148,0.146,0.146,39335.83
1784955600,0.147,0.147,0.145,0.146,29973.15
1784959200,0.146,0.146,0.144,0.145,41194.06
1784966400,0.145,0.146,0.145,0.146,18059.4
1784970000,0.146,0.146,0.146,0.146,24645.99
1784973600,0.146,0.147,0.146,0.147,33102.08
1784977200,0.147,0.148,0.147,0.147,121708.06
1784980800,0.148,0.149,0.148,0.149,25700.09
1784984400,0.148,0.149,0.148,0.149,40455.95
1784988000,0.148,0.149,0.148,0.148,12510.29
1784991600,0.148,0.15,0.148,0.149,17229.49
1784995200,0.15,0.151,0.15,0.151,21347.41
1784998800,0.151,0.153,0.151,0.153,62112.47
1785002400,0.154,0.156,0.154,0.154,267342.34
1785006000,0.154,0.157,0.153,0.157,477540.22
1785009600,0.157,0.158,0.155,0.157,222136.27
1785013200,0.157,0.159,0.156,0.158,149240.65
1785016800,0.158,0.159,0.155,0.155,259407.62
1785020400,0.155,0.155,0.154,0.155,118685.61
1785024000,0.155,0.155,0.154,0.154,38209.87
1785027600,0.154,0.154,0.153,0.154,27563.98
1785031200,0.155,0.158,0.155,0.157,46370.45
1785034800,0.158,0.158,0.157,0.157,30070.16
1785038400,0.158,0.158,0.157,0.158,14502.65
1785042000,0.159,0.16,0.158,0.16,153604.22
1785045600,0.16,0.161,0.159,0.161,39679.06
1785049200,0.161,0.161,0.159,0.159,16202.56
1785052800,0.159,0.161,0.158,0.158,68436.33
1785056400,0.159,0.159,0.157,0.157,12982.27
1785060000,0.157,0.157,0.156,0.156,35928.08
1785063600,0.157,0.157,0.157,0.157,5031.16
1785067200,0.157,0.158,0.157,0.157,35660.17
1785070800,0.156,0.157,0.155,0.155,18456.97
1785074400,0.156,0.156,0.154,0.154,32999.17
1785078000,0.155,0.155,0.155,0.155,6328.56
1785081600,0.155,0.156,0.154,0.154,20358.62
1785085200,0.155,0.155,0.154,0.154,1923.7
1785088800,0.154,0.155,0.154,0.154,18978.32
1785092400,0.155,0.155,0.154,0.154,22143.21
1785096000,0.154,0.154,0.154,0.154,20440.51
1785099600,0.153,0.156,0.153,0.156,139284.17
1785103200,0.154,0.154,0.153,0.154,50430.45
1785106800,0.154,0.154,0.153,0.153,20004.29
1785110400,0.153,0.155,0.153,0.154,192219.14
1785114000,0.154,0.156,0.154,0.154,88613.0
1785117600,0.154,0.154,0.154,0.154,1326.46
1785121200,0.154,0.156,0.154,0.156,19615.7
1785124800,0.156,0.156,0.155,0.155,6209.94
1785128400,0.155,0.155,0.155,0.155,19116.57
