time,open,high,low,close,volume
1777356000,6.23e-06,6.25e-06,6.17e-06,6.19e-06,14751982362.0
1777359600,6.18e-06,6.18e-06,6.13e-06,6.17e-06,17673167229.0
1777363200,6.17e-06,6.22e-06,6.15e-06,6.2e-06,7235515309.0
1777366800,6.2e-06,6.2e-06,6.15e-06,6.17e-06,3424820454.0
1777370400,6.18e-06,6.19e-06,6.16e-06,6.18e-06,3136878154.0
1777374000,6.19e-06,6.19e-06,6.13e-06,6.14e-06,2512294261.0
1777377600,6.13e-06,6.16e-06,6.12e-06,6.15e-06,9044331308.0
1777381200,6.16e-06,6.19e-06,6.11e-06,6.16e-06,20499184007.0
1777384800,6.15e-06,6.18e-06,6.11e-06,6.18e-06,22996876497.0
1777388400,6.19e-06,6.23e-06,6.19e-06,6.23e-06,20385267764.0
1777392000,6.23e-06,6.24e-06,6.18e-06,6.2e-06,9495292122.0
1777395600,6.19e-06,6.24e-06,6.18e-06,6.22e-06,24482095730.0
1777399200,6.22e-06,6.26e-06,6.21e-06,6.26e-06,29096364740.0
1777402800,6.26e-06,6.29e-06,6.25e-06,6.27e-06,15023294698.0
1777406400,6.27e-06,6.27e-06,6.24e-06,6.25e-06,3858444461.0
1777410000,6.25e-06,6.28e-06,6.23e-06,6.24e-06,8309392978.0
1777413600,6.24e-06,6.26e-06,6.23e-06,6.23e-06,5759918766.0
1777417200,6.23e-06,6.24e-06,6.2e-06,6.23e-06,10806750109.0
1777420800,6.23e-06,6.27e-06,6.21e-06,6.25e-06,18288256551.0
1777424400,6.26e-06,6.27e-06,6.24e-06,6.27e-06,32226276895.0
1777428000,6.27e-06,6.29e-06,6.24e-06,6.28e-06,8474447638.0
1777431600,6.28e-06,6.31e-06,6.26e-06,6.29e-06,29369229694.0
1777435200,6.3e-06,6.36e-06,6.29e-06,6.34e-06,29444477223.0
1777438800,6.34e-06,6.35e-06,6.32e-06,6.34e-06,10451051321.0
1777442400,6.34e-06,6.34e-06,6.29e-06,6.29e-06,25655684549.0
1777446000,6.28e-06,6.34e-06,6.28e-06,6.32e-06,8000993558.0
1777449600,6.32e-06,6.34e-06,6.3e-06,6.31e-06,8713339971.0
1777453200,6.31e-06,6.49e-06,6.3e-06,6.49e-06,41904508950.0
1777456800,6.5e-06,6.53e-06,6.46e-06,6.48e-06,50495301876.0
1777460400,6.49e-06,6.49e-06,6.44e-06,6.47e-06,28497121047.0
1777464000,6.46e-06,6.47e-06,6.32e-06,6.35e-06,27715049416.0
1777467600,6.36e-06,6.37e-06,6.24e-06,6.3e-06,44286131076.0
1777471200,6.3e-06,6.3e-06,6.23e-06,6.24e-06,28894795792.0
1777474800,6.24e-06,6.25e-06,6.12e-06,6.12e-06,31818285125.0
1777478400,6.13e-06,6.18e-06,6.12e-06,6.15e-06,37968211157.0
1777482000,6.15e-06,6.19e-06,6.14e-06,6.19e-06,9067020329.0
1777485600,6.2e-06,6.2e-06,5.97e-06,6.08e-06,76152694259.0
1777489200,6.08e-06,6.09e-06,6.02e-06,6.07e-06,18634208224.0
1777492800,6.07e-06,6.13e-06,6.07e-06,6.12e-06,10375191520.0
1777496400,6.12e-06,6.18e-06,6.11e-06,6.15e-06,18147767757.0
1777500000,6.15e-06,6.17e-06,6.14e-06,6.15e-06,4507129635.0
1777503600,6.16e-06,6.19e-06,6.14e-06,6.18e-06,4650614529.0
1777507200,6.18e-06,6.29e-06,6.17e-06,6.27e-06,17627477798.0
1777510800,6.28e-06,6.3e-06,6.24e-06,6.28e-06,46435171086.0
1777514400,6.28e-06,6.29e-06,6.15e-06,6.18e-06,23792922036.0
1777518000,6.18e-06,6.23e-06,6.17e-06,6.18e-06,5321334027.0
1777521600,6.18e-06,6.19e-06,6.11e-06,6.11e-06,8144756408.0
1777525200,6.12e-06,6.15e-06,6.08e-06,6.12e-06,5531475588.0
1777528800,6.12e-06,6.16e-06,6.12e-06,6.16e-06,11395502071.0
1777532400,6.16e-06,6.2e-06,6.15e-06,6.19e-06,9109501998.0
1777536000,6.19e-06,6.23e-06,6.18e-06,6.22e-06,9886747136.0
1777539600,6.23e-06,6.29e-06,6.22e-06,6.28e-06,16326734073.0
1777543200,6.27e-06,6.29e-06,6.23e-06,6.24e-06,6403203416.0
1777546800,6.23e-06,6.28e-06,6.2e-06,6.25e-06,7283381032.0
1777550400,6.26e-06,6.28e-06,6.22e-06,6.23e-06,14668059744.0
1777554000,6.22e-06,6.25e-06,6.21e-06,6.23e-06,7179820965.0
1777557600,6.23e-06,6.24e-06,6.19e-06,6.22e-06,7512961547.0
1777561200,6.2e-06,6.27e-06,6.19e-06,6.25e-06,7837680156.0
1777564800,6.25e-06,6.27e-06,6.21e-06,6.22e-06,4330200003.0
1777568400,6.21e-06,6.23e-06,6.19e-06,6.22e-06,2780023560.0
1777572000,6.23e-06,6.24e-06,6.21e-06,6.21e-06,7428893694.0
1777575600,6.21e-06,6.23e-06,6.19e-06,6.19e-06,8933768398.0
1777579200,6.19e-06,6.19e-06,6.17e-06,6.17e-06,22122548042.0
1777582800,6.17e-06,6.18e-06,6.13e-06,6.14e-06,14433913201.0
1777586400,6.14e-06,6.15e-06,6.12e-06,6.13e-06,7211854946.0
1777590000,6.13e-06,6.17e-06,6.12e-06,6.15e-06,4394425771.0
1777593600,6.16e-06,6.21e-06,6.16e-06,6.16e-06,15922281705.0
1777597200,6.18e-06,6.24e-06,6.18e-06,6.22e-06,4306547548.0
1777600800,6.22e-06,6.24e-06,6.21e-06,6.22e-06,5621799463.0
1777604400,6.22e-06,6.29e-06,6.21e-06,6.26e-06,16946451969.0
1777608000,6.26e-06,6.27e-06,6.23e-06,6.25e-06,6992416493.0
1777611600,6.25e-06,6.27e-06,6.24e-06,6.25e-06,2953008660.0
1777615200,6.24e-06,6.25e-06,6.19e-06,6.2e-06,6127618115.0
1777618800,6.2e-06,6.22e-06,6.19e-06,6.21e-06,5447229978.0
1777622400,6.21e-06,6.25e-06,6.21e-06,6.24e-06,2494227088.0
1777626000,6.23e-06,6.24e-06,6.18e-06,6.19e-06,3848065136.0
1777629600,6.19e-06,6.2e-06,6.14e-06,6.2e-06,3295899096.0
1777633200,6.2e-06,6.22e-06,6.18e-06,6.21e-06,5670549420.0
1777636800,6.2e-06,6.26e-06,6.2e-06,6.25e-06,14893711838.0
1777640400,6.25e-06,6.35e-06,6.25e-06,6.34e-06,20567984360.0
1777644000,6.34e-06,6.35e-06,6.29e-06,6.32e-06,18495870406.0
1777647600,6.32e-06,6.38e-06,6.3e-06,6.35e-06,18916544663.0
1777651200,6.36e-06,6.37e-06,6.3e-06,6.32e-06,6245074577.0
1777654800,6.32e-06,6.33e-06,6.29e-06,6.32e-06,5117810180.0
1777658400,6.32e-06,6.33e-06,6.3e-06,6.3e-06,16733564699.0
1777662000,6.3e-06,6.32e-06,6.27e-06,6.29e-06,5646047708.0
1777665600,6.28e-06,6.3e-06,6.22e-06,6.24e-06,11878261951.0
1777669200,6.24e-06,6.28e-06,6.23e-06,6.27e-06,15371949500.0
1777672800,6.26e-06,6.29e-06,6.23e-06,6.24e-06,3991254577.0
1777676400,6.23e-06,6.24e-06,6.2e-06,6.22e-06,4771525216.0
1777680000,6.23e-06,6.24e-06,6.21e-06,6.23e-06,16573711897.0
1777683600,6.22e-06,6.26e-06,6.22e-06,6.24e-06,2238218407.0
1777687200,6.24e-06,6.26e-06,6.23e-06,6.24e-06,2799800029.0
1777690800,6.24e-06,6.25e-06,6.22e-06,6.25e-06,3114341728.0
1777694400,6.25e-06,6.25e-06,6.21e-06,6.22e-06,4733581647.0
1777698000,6.22e-06,6.23e-06,6.19e-06,6.21e-06,7126029395.0
1777701600,6.21e-06,6.25e-06,6.21e-06,6.25e-06,8303434574.0
1777705200,6.25e-06,6.25e-06,6.22e-06,6.22e-06,2611326889.0
1777708800,6.23e-06,6.23e-06,6.21e-06,6.22e-06,784500266.0
1777712400,6.22e-06,6.25e-06,6.22e-06,6.24e-06,1509053524.0
1777716000,6.24e-06,6.25e-06,6.23e-06,6.24e-06,3459337097.0
1777719600,6.23e-06,6.23e-06,6.2e-06,6.21e-06,2743020982.0
1777723200,6.22e-06,6.24e-06,6.21e-06,6.22e-06,8917077802.0
