time,open,high,low,close,volume
1777356000,0.1003,0.10044,0.0991,0.09952,10053427.1
1777359600,0.09953,0.09973,0.09896,0.09964,4064114.1
1777363200,0.0996,0.09996,0.09927,0.09974,6347534.5
1777366800,0.09975,0.09989,0.099,0.09923,4725282.5
1777370400,0.09923,0.0994,0.0991,0.09922,990217.7
1777374000,0.09922,0.09927,0.09851,0.09859,7301262.4
1777377600,0.0986,0.09902,0.09826,0.099,5462363.9
1777381200,0.09898,0.09917,0.0984,0.09867,7312716.8
1777384800,0.09866,0.09887,0.09806,0.09887,7177253.3
1777388400,0.09888,0.09951,0.09872,0.09951,5644727.0
1777392000,0.09952,0.09981,0.09918,0.09971,12851396.5
1777395600,0.09971,0.09972,0.09918,0.09933,2948771.1
1777399200,0.0993,0.09964,0.09919,0.09952,4369553.8
1777402800,0.09951,0.09984,0.09927,0.09969,8302995.7
1777406400,0.09971,0.09988,0.0996,0.09973,2654867.0
1777410000,0.09973,0.09994,0.09914,0.0995,9012227.2
1777413600,0.09951,0.10017,0.09939,0.09948,5656414.6
1777417200,0.09945,0.09945,0.09878,0.09933,10295088.3
1777420800,0.09933,0.10004,0.09922,0.09988,13171047.6
1777424400,0.09986,0.10023,0.09944,0.10012,13373300.6
1777428000,0.10014,0.10031,0.09972,0.09999,2420849.2
1777431600,0.09999,0.10142,0.09993,0.10133,10254140.7
1777435200,0.10134,0.10248,0.10114,0.10178,11671695.1
1777438800,0.1018,0.10241,0.10158,0.10226,13030225.0
1777442400,0.10228,0.10244,0.10179,0.10214,5172957.2
1777446000,0.10215,0.10541,0.10205,0.10491,32653007.5
1777449600,0.10494,0.10595,0.10464,0.10544,18307662.4
1777453200,0.10541,0.112,0.10519,0.10943,57960874.9
1777456800,0.10945,0.1106,0.10922,0.11008,33723695.7
1777460400,0.11007,0.11057,0.10943,0.10967,25053456.3
1777464000,0.10968,0.10968,0.10646,0.1072,39182345.0
1777467600,0.10718,0.10756,0.10521,0.10637,35537497.2
1777471200,0.10636,0.10654,0.10461,0.10534,57351154.0
1777474800,0.10536,0.10565,0.10289,0.10341,63437891.1
1777478400,0.10336,0.10409,0.10176,0.10225,26899805.6
1777482000,0.10226,0.10434,0.10207,0.104,30465465.3
1777485600,0.10394,0.10401,0.10092,0.10214,65391932.9
1777489200,0.10215,0.10219,0.10086,0.10137,54550280.7
1777492800,0.10138,0.10247,0.10125,0.10209,16799547.0
1777496400,0.10208,0.10364,0.10191,0.10312,31685777.2
1777500000,0.10312,0.10377,0.10295,0.10348,8380816.3
1777503600,0.10348,0.10417,0.10337,0.10415,10438973.0
1777507200,0.10413,0.10827,0.10392,0.10792,67430239.1
1777510800,0.10791,0.10839,0.10632,0.10688,45509000.3
1777514400,0.10688,0.10728,0.10452,0.10534,35457799.5
1777518000,0.10534,0.10745,0.10514,0.10675,14830173.2
1777521600,0.10673,0.10681,0.10474,0.10494,16710158.9
1777525200,0.10497,0.10589,0.10431,0.10541,15197425.7
1777528800,0.10541,0.10636,0.10524,0.10623,6240481.3
1777532400,0.10622,0.10705,0.10595,0.10698,8836920.5
