time,open,high,low,close,volume
1777356000,3.89e-06,3.9e-06,3.84e-06,3.86e-06,25991409390.0
1777359600,3.85e-06,3.86e-06,3.82e-06,3.85e-06,30158199165.0
1777363200,3.85e-06,3.89e-06,3.84e-06,3.87e-06,30090752333.0
1777366800,3.87e-06,3.88e-06,3.84e-06,3.86e-06,13400067113.0
1777370400,3.86e-06,3.86e-06,3.83e-06,3.85e-06,10950612720.0
1777374000,3.84e-06,3.85e-06,3.82e-06,3.83e-06,32721077711.0
1777377600,3.83e-06,3.85e-06,3.82e-06,3.85e-06,46643229236.0
1777381200,3.85e-06,3.87e-06,3.81e-06,3.86e-06,68500336782.0
1777384800,3.85e-06,3.86e-06,3.82e-06,3.86e-06,75968186338.0
1777388400,3.87e-06,3.87e-06,3.85e-06,3.87e-06,40724705297.0
1777392000,3.87e-06,3.87e-06,3.84e-06,3.86e-06,37088713382.0
1777395600,3.86e-06,3.87e-06,3.83e-06,3.87e-06,13390767816.0
1777399200,3.87e-06,3.9e-06,3.86e-06,3.89e-06,64981112256.0
1777402800,3.89e-06,3.9e-06,3.88e-06,3.9e-06,88429639654.0
1777406400,3.9e-06,3.9e-06,3.88e-06,3.9e-06,22405346101.0
1777410000,3.91e-06,3.91e-06,3.87e-06,3.88e-06,20096275108.0
1777413600,3.89e-06,3.9e-06,3.87e-06,3.87e-06,40996586708.0
1777417200,3.88e-06,3.88e-06,3.86e-06,3.88e-06,36992889807.0
1777420800,3.88e-06,3.9e-06,3.87e-06,3.88e-06,22693752422.0
1777424400,3.89e-06,3.89e-06,3.86e-06,3.89e-06,27178886002.0
1777428000,3.89e-06,3.89e-06,3.86e-06,3.88e-06,21631240889.0
1777431600,3.88e-06,3.91e-06,3.87e-06,3.91e-06,45299257041.0
1777435200,3.91e-06,3.95e-06,3.9e-06,3.94e-06,94024771196.0
1777438800,3.94e-06,3.94e-06,3.92e-06,3.93e-06,30143080932.0
1777442400,3.92e-06,3.93e-06,3.89e-06,3.9e-06,13934737424.0
1777446000,3.9e-06,3.96e-06,3.9e-06,3.95e-06,23748189385.0
1777449600,3.95e-06,3.96e-06,3.93e-06,3.94e-06,33506935256.0
1777453200,3.94e-06,4.06e-06,3.94e-06,4.04e-06,198749669313.0
1777456800,4.05e-06,4.16e-06,4.04e-06,4.12e-06,181631107956.0
1777460400,4.12e-06,4.14e-06,4.08e-06,4.11e-06,100385767598.0
1777464000,4.11e-06,4.11e-06,3.96e-06,3.96e-06,94289216802.0
1777467600,3.96e-06,3.97e-06,3.87e-06,3.9e-06,109636042076.0
1777471200,3.9e-06,3.91e-06,3.86e-06,3.87e-06,90391231083.0
1777474800,3.87e-06,3.88e-06,3.81e-06,3.81e-06,124491507094.0
1777478400,3.82e-06,3.84e-06,3.81e-06,3.84e-06,109963885907.0
1777482000,3.84e-06,3.88e-06,3.83e-06,3.87e-06,45070515574.0
1777485600,3.87e-06,3.87e-06,3.74e-06,3.82e-06,138407996944.0
1777489200,3.82e-06,3.82e-06,3.78e-06,3.81e-06,24824632984.0
