time,open,high,low,close,volume
1777356000,6.19e-06,6.2e-06,6.13e-06,6.14e-06,1647545607.0
1777359600,6.14e-06,6.14e-06,6.1e-06,6.13e-06,2524440258.0
1777363200,6.12e-06,6.16e-06,6.12e-06,6.13e-06,366140453.0
1777366800,6.13e-06,6.14e-06,6.09e-06,6.11e-06,878596301.0
1777370400,6.12e-06,6.13e-06,6.11e-06,6.12e-06,1148428918.0
1777374000,6.11e-06,6.12e-06,6.08e-06,6.08e-06,3090215108.0
1777377600,6.08e-06,6.11e-06,6.07e-06,6.1e-06,691267309.0
1777381200,6.1e-06,6.13e-06,6.08e-06,6.09e-06,3689360848.0
1777384800,6.08e-06,6.12e-06,6.06e-06,6.12e-06,1056387129.0
1777388400,6.12e-06,6.12e-06,6.09e-06,6.12e-06,10375511943.0
1777392000,6.12e-06,6.12e-06,6.1e-06,6.11e-06,1155091808.0
1777395600,6.1e-06,6.12e-06,6.09e-06,6.11e-06,1286616951.0
1777399200,6.11e-06,6.13e-06,6.11e-06,6.13e-06,2357029839.0
1777402800,6.13e-06,6.14e-06,6.12e-06,6.14e-06,230701842.0
1777406400,6.14e-06,6.15e-06,6.13e-06,6.14e-06,1914464928.0
1777410000,6.15e-06,6.15e-06,6.12e-06,6.13e-06,471508526.0
1777413600,6.14e-06,6.16e-06,6.13e-06,6.14e-06,4975094817.0
1777417200,6.13e-06,6.14e-06,6.12e-06,6.14e-06,1467116392.0
1777420800,6.14e-06,6.15e-06,6.12e-06,6.14e-06,974233001.0
1777424400,6.15e-06,6.16e-06,6.13e-06,6.15e-06,9735158605.0
1777428000,6.16e-06,6.17e-06,6.13e-06,6.15e-06,3206047100.0
1777431600,6.15e-06,6.19e-06,6.14e-06,6.19e-06,790275611.0
1777435200,6.19e-06,6.23e-06,6.19e-06,6.22e-06,2237667631.0
1777438800,6.21e-06,6.22e-06,6.2e-06,6.2e-06,213928660.0
1777442400,6.21e-06,6.22e-06,6.18e-06,6.18e-06,14635946077.0
1777446000,6.18e-06,6.25e-06,6.18e-06,6.24e-06,5133899563.0
1777449600,6.24e-06,6.25e-06,6.22e-06,6.24e-06,5171651306.0
1777453200,6.23e-06,6.47e-06,6.23e-06,6.46e-06,23832349794.0
1777456800,6.47e-06,6.56e-06,6.42e-06,6.45e-06,17824647674.0
