time,open,high,low,close,volume
1777356000,0.178,0.179,0.176,0.177,60820.76
1777359600,0.177,0.177,0.176,0.177,34771.76
1777363200,0.177,0.178,0.177,0.177,23579.53
1777366800,0.176,0.177,0.176,0.177,45236.04
1777370400,0.177,0.177,0.176,0.176,74659.25
1777374000,0.176,0.177,0.175,0.176,37294.87
1777377600,0.177,0.177,0.176,0.176,55008.4
1777381200,0.176,0.178,0.176,0.177,95304.03
1777384800,0.177,0.178,0.176,0.178,106171.43
1777388400,0.178,0.18,0.178,0.178,138097.57
1777392000,0.179,0.179,0.178,0.178,82501.45
1777395600,0.177,0.179,0.177,0.177,24739.86
1777399200,0.178,0.179,0.178,0.179,38999.43
1777402800,0.18,0.18,0.179,0.179,24068.07
1777406400,0.179,0.179,0.179,0.179,13898.36
1777410000,0.179,0.179,0.178,0.179,29182.79
1777413600,0.179,0.18,0.178,0.178,29357.77
1777417200,0.179,0.179,0.179,0.179,11213.73
1777420800,0.179,0.179,0.178,0.178,11614.05
1777424400,0.178,0.179,0.178,0.179,5855.32
1777428000,0.179,0.179,0.178,0.178,46272.74
1777431600,0.179,0.18,0.179,0.18,220491.21
1777435200,0.18,0.18,0.178,0.18,254137.69
1777438800,0.18,0.181,0.18,0.181,9733.53
1777442400,0.181,0.181,0.18,0.181,73197.62
1777446000,0.18,0.183,0.18,0.182,239440.11
1777449600,0.182,0.183,0.181,0.182,331466.22
1777453200,0.181,0.186,0.181,0.186,116907.84
1777456800,0.187,0.188,0.186,0.186,163201.6
1777460400,0.186,0.186,0.184,0.184,76203.24
1777464000,0.182,0.182,0.181,0.181,237302.32
1777467600,0.181,0.181,0.179,0.179,115542.83
1777471200,0.179,0.18,0.178,0.179,123414.4
1777474800,0.179,0.179,0.175,0.176,356726.55
1777478400,0.176,0.176,0.175,0.175,236437.21
1777482000,0.175,0.177,0.175,0.177,71604.22
1777485600,0.177,0.177,0.172,0.176,289598.51
1777489200,0.176,0.177,0.176,0.176,112678.03
1777492800,0.176,0.178,0.176,0.178,151636.44
1777496400,0.179,0.179,0.178,0.178,111725.16
1777500000,0.178,0.179,0.178,0.178,27498.54
1777503600,0.178,0.178,0.178,0.178,98003.68
1777507200,0.179,0.182,0.179,0.182,71966.07
1777510800,0.181,0.181,0.18,0.181,18291.04
1777514400,0.181,0.182,0.178,0.179,102982.21
1777518000,0.178,0.186,0.178,0.184,798349.51
1777521600,0.183,0.185,0.182,0.184,448480.12
1777525200,0.183,0.184,0.18,0.18,206037.33
1777528800,0.18,0.182,0.18,0.182,80186.45
1777532400,0.182,0.183,0.181,0.182,54009.55
1777536000,0.182,0.185,0.182,0.185,298581.23
1777539600,0.184,0.187,0.184,0.184,200957.09
1777543200,0.184,0.184,0.182,0.182,101030.07
1777546800,0.182,0.183,0.18,0.181,125152.35
1777550400,0.182,0.183,0.181,0.183,223448.94
1777554000,0.183,0.183,0.182,0.182,90172.55
1777557600,0.182,0.185,0.182,0.185,121139.66
1777561200,0.185,0.19,0.184,0.189,215395.9
1777564800,0.189,0.19,0.186,0.188,282915.11
1777568400,0.187,0.187,0.184,0.185,80242.55
1777572000,0.185,0.185,0.184,0.184,99350.17
1777575600,0.184,0.186,0.184,0.185,141340.45
1777579200,0.185,0.186,0.185,0.186,65174.02
1777582800,0.185,0.186,0.184,0.184,111196.22
1777586400,0.183,0.184,0.182,0.183,50770.54
1777590000,0.183,0.184,0.183,0.184,32740.11
1777593600,0.184,0.185,0.184,0.185,94290.92
1777597200,0.185,0.187,0.185,0.187,252126.38
1777600800,0.187,0.188,0.186,0.188,27472.16
1777604400,0.189,0.191,0.187,0.188,177158.45
1777608000,0.188,0.189,0.186,0.187,138373.99
1777611600,0.187,0.188,0.187,0.188,29452.62
1777615200,0.187,0.187,0.185,0.186,79111.46
1777618800,0.185,0.186,0.184,0.185,337785.03
1777622400,0.185,0.186,0.185,0.185,41144.05
1777626000,0.185,0.186,0.185,0.185,38205.25
1777629600,0.185,0.187,0.185,0.186,44391.14
1777633200,0.187,0.188,0.186,0.188,47074.53
1777636800,0.188,0.188,0.187,0.187,40833.17
1777640400,0.188,0.19,0.188,0.19,139870.25
1777644000,0.189,0.19,0.189,0.19,131983.1
1777647600,0.19,0.195,0.19,0.194,531595.79
1777651200,0.195,0.197,0.194,0.195,450981.26
1777654800,0.195,0.197,0.195,0.195,167677.64
1777658400,0.195,0.196,0.192,0.194,177361.0
1777662000,0.194,0.195,0.192,0.193,88884.75
1777665600,0.193,0.193,0.189,0.191,197286.3
1777669200,0.19,0.191,0.19,0.19,113614.85
1777672800,0.19,0.19,0.189,0.19,104520.6
1777676400,0.189,0.189,0.188,0.189,24479.41
1777680000,0.188,0.189,0.188,0.188,58966.73
1777683600,0.188,0.188,0.187,0.187,48308.22
1777687200,0.187,0.187,0.187,0.187,10839.53
1777690800,0.187,0.188,0.187,0.188,29526.0
1777694400,0.187,0.188,0.187,0.187,66063.72
1777698000,0.187,0.188,0.187,0.187,66005.29
1777701600,0.187,0.188,0.186,0.188,46500.4
1777705200,0.188,0.188,0.187,0.187,36505.56
1777712400,0.187,0.188,0.187,0.187,63277.78
1777716000,0.188,0.188,0.188,0.188,100913.54
1777719600,0.188,0.189,0.188,0.188,13996.27
1777723200,0.188,0.19,0.188,0.19,105137.81
1777726800,0.19,0.191,0.186,0.19,576768.08
1777730400,0.19,0.194,0.19,0.193,288440.91
1777734000,0.193,0.193,0.192,0.192,152943.58
1777737600,0.192,0.194,0.192,0.194,84752.61
1777741200,0.194,0.195,0.189,0.189,428474.81
1777744800,0.189,0.191,0.189,0.19,78013.91
1777748400,0.19,0.191,0.19,0.19,47746.85
1777752000,0.19,0.19,0.189,0.19,63592.18
1777755600,0.19,0.192,0.19,0.19,126857.46
1777759200,0.191,0.192,0.189,0.19,435626.92
1777762800,0.19,0.19,0.189,0.189,86611.44
1777766400,0.189,0.189,0.188,0.189,295100.33
1777770000,0.188,0.188,0.186,0.186,47561.87
1777773600,0.186,0.187,0.186,0.187,60129.15
1777777200,0.187,0.187,0.187,0.187,10111.35
1777780800,0.187,0.187,0.187,0.187,18101.79
1777784400,0.187,0.187,0.187,0.187,8190.32
1777788000,0.186,0.187,0.186,0.187,44697.56
1777791600,0.187,0.187,0.187,0.187,253933.55
1777795200,0.187,0.187,0.187,0.187,42587.67
1777798800,0.186,0.186,0.186,0.186,64465.15
1777802400,0.186,0.186,0.185,0.185,35601.61
1777806000,0.185,0.186,0.185,0.186,104289.23
1777809600,0.186,0.187,0.186,0.186,28625.04
1777813200,0.187,0.188,0.187,0.188,186469.83
1777816800,0.188,0.189,0.188,0.188,51987.59
1777820400,0.188,0.188,0.187,0.187,91192.0
1777824000,0.187,0.189,0.186,0.188,23910.15
1777827600,0.187,0.188,0.187,0.187,92788.85
1777831200,0.188,0.189,0.188,0.189,27948.57
1777834800,0.188,0.189,0.188,0.189,13205.75
1777838400,0.189,0.19,0.189,0.189,150170.5
1777842000,0.189,0.189,0.188,0.188,87296.56
1777845600,0.188,0.19,0.188,0.19,122716.56
1777849200,0.189,0.189,0.188,0.188,132005.51
1777852800,0.187,0.189,0.187,0.189,69523.84
1777856400,0.189,0.192,0.188,0.192,203288.12
1777860000,0.193,0.194,0.191,0.194,88654.08
1777863600,0.194,0.195,0.192,0.194,201379.56
1777867200,0.194,0.195,0.193,0.193,133203.09
1777870800,0.193,0.193,0.192,0.193,62912.96
1777874400,0.193,0.193,0.191,0.192,58058.86
1777878000,0.192,0.192,0.191,0.191,57581.33
1777881600,0.191,0.193,0.191,0.193,142828.52
1777885200,0.193,0.195,0.193,0.194,132250.33
1777888800,0.194,0.194,0.189,0.191,226107.64
1777892400,0.191,0.192,0.191,0.192,46077.35
1777896000,0.193,0.193,0.191,0.191,37506.26
1777899600,0.191,0.192,0.191,0.191,101710.36
1777903200,0.191,0.194,0.191,0.193,79413.67
1777906800,0.193,0.193,0.191,0.191,90569.14
1777910400,0.191,0.193,0.191,0.192,74710.22
1777914000,0.193,0.193,0.192,0.193,43899.37
1777917600,0.193,0.193,0.193,0.193,19030.92
1777921200,0.192,0.193,0.192,0.193,94933.9
1777924800,0.191,0.191,0.19,0.191,12890.52
1777928400,0.191,0.193,0.191,0.192,110305.37
1777932000,0.192,0.192,0.19,0.19,79113.85
1777935600,0.191,0.191,0.191,0.191,20562.72
1777939200,0.191,0.192,0.19,0.192,57176.56
1777942800,0.193,0.193,0.192,0.193,43766.77
1777946400,0.193,0.194,0.191,0.192,10675.68
1777950000,0.192,0.193,0.192,0.192,39222.96
1777953600,0.192,0.192,0.192,0.192,3948.34
1777957200,0.193,0.194,0.193,0.193,69534.82
1777960800,0.192,0.194,0.192,0.194,6303.88
1777964400,0.194,0.195,0.194,0.194,65396.97
1777968000,0.195,0.196,0.195,0.196,56044.48
1777971600,0.196,0.197,0.195,0.195,35723.76
1777975200,0.195,0.196,0.195,0.195,40805.12
1777978800,0.194,0.196,0.194,0.196,66794.68
1777982400,0.195,0.198,0.195,0.197,22594.14
1777986000,0.197,0.198,0.196,0.197,263343.13
1777989600,0.197,0.198,0.196,0.196,352743.02
1777993200,0.196,0.196,0.195,0.195,40590.37
1777996800,0.195,0.196,0.194,0.195,77392.9
1778000400,0.196,0.196,0.195,0.196,4307.85
1778004000,0.197,0.197,0.196,0.197,124510.54
1778007600,0.197,0.198,0.196,0.197,202732.06
1778011200,0.197,0.2,0.197,0.2,214484.78
1778014800,0.2,0.201,0.198,0.201,241669.62
1778018400,0.201,0.201,0.199,0.2,341466.99
1778022000,0.199,0.201,0.199,0.201,127704.81
1778025600,0.2,0.202,0.2,0.202,91259.03
1778029200,0.202,0.211,0.202,0.21,592589.26
1778032800,0.21,0.219,0.21,0.219,805954.41
1778036400,0.219,0.219,0.21,0.216,793255.85
1778040000,0.216,0.221,0.216,0.218,1026186.31
1778043600,0.218,0.268,0.218,0.251,7551815.72
1778047200,0.252,0.253,0.238,0.243,1671224.84
1778050800,0.242,0.246,0.228,0.23,1483108.87
1778054400,0.229,0.233,0.225,0.231,813987.27
1778058000,0.231,0.232,0.227,0.228,401176.51
1778061600,0.228,0.228,0.223,0.223,427183.54
1778065200,0.223,0.227,0.222,0.225,1600539.79
1778068800,0.225,0.225,0.221,0.223,550074.84
1778072400,0.223,0.226,0.219,0.222,434938.87
1778076000,0.22,0.223,0.219,0.22,206472.2
1778079600,0.22,0.221,0.217,0.22,422644.46
1778083200,0.219,0.222,0.219,0.221,599036.88
1778086800,0.221,0.222,0.219,0.221,358507.63
1778090400,0.22,0.224,0.22,0.223,211510.75
1778094000,0.223,0.225,0.222,0.225,275089.56
1778097600,0.225,0.226,0.221,0.223,422101.84
1778101200,0.223,0.225,0.222,0.225,438111.05
1778104800,0.225,0.225,0.22,0.22,566437.56
1778108400,0.22,0.221,0.219,0.22,128924.93
1778112000,0.22,0.221,0.216,0.217,225702.71
1778115600,0.216,0.218,0.213,0.216,378518.12
1778119200,0.216,0.218,0.215,0.217,217632.61
1778122800,0.216,0.217,0.212,0.212,656852.09
1778126400,0.212,0.216,0.21,0.216,160095.31
